Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-10-05 00:20:04,2024-10-05 23:42:02,UTC+02:00,2024-10-05 20:10:48,2024-10-05 20:59:39,48,Weightlifting,0.0,55.0,98,79,2,0,0,0,0,false,,,
2024-10-05 00:20:04,2024-10-05 23:42:02,UTC+02:00,2024-10-05 11:10:48,2024-10-05 11:59:39,48,Weightlifting,5.2,122.0,132,95,49,16,0,0,0,false,,,
2024-10-04 00:09:33,2024-10-05 00:20:04,UTC+02:00,2024-10-04 07:43:30,2024-10-04 08:01:29,17,Weightlifting,4.8,67.0,131,106,53,46,0,0,0,false,,,
2024-10-01 01:18:00,2024-10-02 00:09:21,UTC+02:00,2024-10-01 08:10:27,2024-10-01 08:47:31,37,Running,4.3,56.0,129,90,37,5,0,0,0,false,,,
2024-10-01 01:18:00,2024-10-02 00:09:21,UTC+02:00,2024-10-01 07:10:27,2024-10-01 07:47:31,37,Running,13.7,503.0,167,153,0,0,8,92,0,false,,,
2024-09-28 22:51:48,2024-09-30 00:18:49,UTC+02:00,2024-09-29 10:00:45,2024-09-29 11:42:45,102,Running,18.7,1238.0,191,148,10,7,9,44,27,false,,,
2024-09-28 00:15:40,2024-09-28 22:51:48,UTC+02:00,2024-09-28 11:18:57,2024-09-28 12:13:44,54,Weightlifting,0.2,62.0,120,70,0,0,0,0,0,false,,,
2024-09-28 00:15:40,2024-09-28 22:51:48,UTC+02:00,2024-09-28 10:18:57,2024-09-28 11:13:44,54,Weightlifting,5.0,116.0,140,91,40,12,2,0,0,false,,,
2024-09-26 00:31:38,2024-09-26 23:27:17,UTC+02:00,2024-09-26 08:07:52,2024-09-26 08:48:53,41,Running,3.3,46.0,108,85,20,0,0,0,0,false,,,
2024-09-26 00:31:38,2024-09-26 23:27:17,UTC+02:00,2024-09-26 07:07:52,2024-09-26 07:48:53,41,Running,13.7,527.0,182,150,0,1,18,71,10,false,,,
2024-09-24 23:44:56,2024-09-26 00:31:38,UTC+02:00,2024-09-25 07:37:04,2024-09-25 08:28:56,51,Weightlifting,0.6,58.0,104,79,5,0,0,0,0,false,,,
2024-09-24 23:44:56,2024-09-26 00:31:38,UTC+02:00,2024-09-25 06:37:04,2024-09-25 07:28:56,51,Weightlifting,5.4,138.0,140,96,51,18,1,0,0,false,,,
2024-09-24 00:06:05,2024-09-24 23:44:56,UTC+02:00,2024-09-24 07:23:14,2024-09-24 08:07:43,44,Running,14.4,588.0,175,152,0,1,27,66,6,false,,,
2024-09-20 23:55:21,2024-09-22 00:29:51,UTC+02:00,2024-09-21 16:56:58,2024-09-21 18:57:58,121,Running,20.2,1763.0,194,159,0,0,5,70,25,false,,,
2024-09-20 23:55:21,2024-09-22 00:29:51,UTC+02:00,2024-09-21 11:33:39,2024-09-21 12:22:58,49,Weightlifting,2.8,56.0,112,79,8,0,0,0,0,false,,,
2024-09-20 23:55:21,2024-09-22 00:29:51,UTC+02:00,2024-09-21 10:33:39,2024-09-21 11:22:58,49,Weightlifting,4.9,104.0,136,93,47,13,0,0,0,false,,,
2024-09-19 23:53:33,2024-09-20 23:55:21,UTC+02:00,2024-09-20 07:41:06,2024-09-20 08:27:52,46,Running,4.2,61.0,116,84,24,0,0,0,0,false,,,
2024-09-19 23:53:33,2024-09-20 23:55:21,UTC+02:00,2024-09-20 06:41:06,2024-09-20 07:27:52,46,Running,15.2,650.0,172,155,0,1,8,82,9,false,,,
2024-09-19 00:31:32,2024-09-19 23:53:33,UTC+02:00,2024-09-19 08:09:53,2024-09-19 08:48:13,38,Swimming,,,,,,,,,,false,,,
2024-09-19 00:31:32,2024-09-19 23:53:33,UTC+02:00,2024-09-19 07:09:53,2024-09-19 07:48:13,38,Swimming,14.3,519.0,173,154,3,4,4,77,12,false,,,
2024-09-17 23:51:13,2024-09-19 00:31:32,UTC+02:00,2024-09-18 07:40:47,2024-09-18 08:25:54,45,Weightlifting,0.8,51.0,111,75,6,0,0,0,0,false,,,
2024-09-17 23:51:13,2024-09-19 00:31:32,UTC+02:00,2024-09-18 06:40:47,2024-09-18 07:25:54,45,Weightlifting,4.0,54.0,108,80,17,0,0,0,0,false,,,
2024-09-16 00:12:40,2024-09-17 00:28:30,UTC+02:00,2024-09-16 21:50:33,2024-09-16 22:34:16,43,Weightlifting,0.0,49.0,92,70,0,0,0,0,0,false,,,
2024-09-16 00:12:40,2024-09-17 00:28:30,UTC+02:00,2024-09-16 20:50:33,2024-09-16 21:34:16,43,Weightlifting,5.5,136.0,146,101,56,26,3,0,0,false,,,
2024-09-14 23:57:37,2024-09-16 00:12:40,UTC+02:00,2024-09-15 13:30:23,2024-09-15 14:26:58,56,Running,5.2,121.0,133,94,65,9,0,0,0,false,,,
2024-09-14 23:57:37,2024-09-16 00:12:40,UTC+02:00,2024-09-15 12:30:23,2024-09-15 13:26:58,56,Running,17.7,884.0,184,164,0,0,2,38,60,false,,,
2024-09-14 23:57:37,2024-09-16 00:12:40,UTC+02:00,2024-09-15 11:15:14,2024-09-15 12:25:41,70,Running,13.9,710.0,168,137,6,14,38,42,0,false,,,
