date,training_load,totalDistanceMeters,floorsAscendedInMeters,sleepingSeconds,bodyBatteryMostRecentValue,averageStressLevel,restingHeartRate,maxHeartRate,intensityMinutes,activeKilocalories,totalSteps,floorsAscended,5K_prediction,10K_prediction,HalfMarathon_prediction,Marathon_prediction,sleep_score,CTL,ATL,TSB
2024-05-08,185.20486450195312,15918.0,67.914,24840.0,5.0,40.0,49.0,158.0,0.0,911.0,15624.0,22.2815,0:19,0:41,1:33,3:36,80.0,78.9,104.4,-25.5
2024-05-09,201.4730224609375,17163.0,64.806,24310.0,16.0,33.0,50.0,186.0,0.0,973.0,16968.0,21.26181,0:19,0:41,1:33,3:36,61.0,81.8,117.3,-35.6
2024-05-10,7.0811767578125,7955.0,12.884,21540.0,16.0,27.0,50.0,118.0,0.0,411.0,10002.0,4.22703,0:19,0:41,1:33,3:36,68.0,80.0,102.7,-22.6
2024-05-11,236.31434631347656,15886.0,286.512,31380.0,12.0,30.0,51.0,181.0,0.0,951.0,15422.0,94.0,0:19,0:41,1:33,3:36,90.0,83.7,120.5,-36.8
2024-05-12,69.85545349121094,6512.0,19.816,29700.0,14.0,34.0,52.0,164.0,0.0,470.0,6567.0,6.50131,0:19,0:41,1:33,3:36,82.0,83.4,113.7,-30.4
2024-05-13,0.0,1311.0,0.0,26605.0,5.0,45.0,51.0,117.0,0.0,137.0,1675.0,0.0,0:19,0:41,1:33,3:36,78.0,81.4,98.6,-17.2
2024-05-14,0.0,3818.0,5.42,27939.0,39.0,23.0,51.0,106.0,0.0,161.0,4879.0,1.77822,0:19,0:41,1:33,3:36,81.0,79.5,85.5,-6.0
2024-05-15,236.7414703369141,22205.0,178.494,25888.0,8.0,37.0,48.0,172.0,0.0,1303.0,20850.0,58.56102,0:19,0:41,1:33,3:36,90.0,83.2,105.6,-22.4
2024-05-16,0.0,4303.0,0.0,26160.0,44.0,23.0,50.0,112.0,0.0,162.0,5499.0,0.0,0:19,0:41,1:33,3:36,66.0,81.2,91.5,-10.3
2024-05-17,174.66302490234375,16367.0,57.912,24000.0,27.0,20.0,46.0,184.0,0.0,847.0,16897.0,19.0,0:19,0:41,1:33,3:36,93.0,83.4,102.6,-19.2
2024-05-18,9.455398559570312,4593.0,14.256,25260.0,27.0,30.0,53.0,129.0,0.0,410.0,5831.0,4.67717,0:19,0:41,1:33,3:36,72.0,81.7,90.2,-8.5
